Kanji,Kana,English,Romaji,Mnemonic
悲しみ,かなしみ,Sadness,Kanashimi,"Imagine a 'can of shimmy' that dances sadly when opened."
の,の,Of/Belonging to,No,"Think of 'NO' ownership if it belongs to someone else."
底,そこ,Bottom,Soko,"At the bottom of the 'soak-o' bath is where sadness lingers."
で,で,At/By/From,De,"'De plane' flies by, marking the spot."
光る,ひかる,Shine/Hikari,Hikaru,"'He-car-ru' lights up like a shining car."
優しさ,やさしさ,Kindness,Yasashisa,"Yasashisa sounds like a kind 'yes-sassy' samurai."
に,に,In/On/At,Ni,"'Knee' deep in kindness."
何度も,なんども,Many times,Nando mo,"Imagine asking 'Nan do-mo' questions many times."
僕,ぼく,I/Me,Boku,"Picture a bokeh effect on a photo of yourself—it's all about 'me.'"
は,は,Topic Marker,Wa,"A wa-ffle points to the main topic—deliciousness."
包まれて,つつまれて,Wrapped/Enveloped,Tsutsumarete,"'Two suitcases married'—wrapped up for a honeymoon."
来た,きた,Came,Kita,"'Kite-a' came flying in the wind."
ねえ,ねえ,Hey/You Know,Ne,"'Neigh,' says the horse, trying to get attention."
キミ,キミ,You,Kimi,"'Kim-ee' the nickname for a friendly pal."
も,も,Also,Mo,"Imagine a cow saying, 'Moo too!'—also."
そうだろう,そうだろう,Isn't it so?,Sō darō,"'So, does Darrow agree?'—isn't it so?"
どこまでも,どこまでも,Anywhere/Everywhere,Dokomademo,"'Doko made more' travels anywhere without stopping."
広がる,ひろがる,Spread/Expand,Hirogaru,"'He-row-gar-u' rows the boat, spreading ripples everywhere."
穏やか,おだやか,Calm,Odayaka,"'Oh, day is calm'—peaceful vibes."
な,な,Adjective Modifier,Na,"Think of 'Nah, it's fine'—a calm response."
景色,けしき,Scenery,Keshiki,"'Keshiki' is like 'ketchup kick' on a serene landscape."
を,を,Object Marker,Wo,"'Whoa,' the object of focus stands out."
夢,ゆめ,Dream,Yume,"A 'you may' dream of flying unicorns."
の,の,Of/Belonging to,No,"Think of 'NO' ownership if it belongs to someone else."
中,なか,Inside,Naka,"'Knock-a' on the door to get inside."
で,で,At/By/From,De,"'De plane' flies by, marking the spot."
確かに,たしかに,Certainly,Tashika ni,"'Tash can he' certainly do it."
歩いた,あるいた,Walked,Aruita,"Picture 'a route-a' walked in the dream."
んだ,んだ,It is,N da,"'N duh,' it is obvious."
よ,よ,Emphasis Particle,Yo,"Think of saying, 'Yo!' for emphasis."
キミ,キミ,You,Kimi,"'Kim-ee' the nickname for a friendly pal."
も,も,Also,Mo,"Imagine a cow saying, 'Moo too!'—also."
そこ,そこ,There,Soko,"'So cozy'—that's where you are, right there."
に,に,At/In,Ni,"'Knee' deep in the place you're at."
いた,いた,Was,Ita,"Imagine someone saying, 'Ita was here!'"
窓,まど,Window,Mado,"'Ma do' let the light in through the window!"
の,の,Of/Belonging to,No,"Think of 'NO' ownership if it belongs to someone else."
外,そと,Outside,Soto,"'So to' the outside world we go."
は,は,Topic Marker,Wa,"A wa-ffle points to the main topic—deliciousness."
今日,きょう,Today,Kyō,"'Key-o' to a great day is focusing on today."
も,も,Also,Mo,"Imagine a cow saying, 'Moo too!'—also."
戦闘機,せんとうき,Fighter Jet,Sentōki,"'Send Tokyo' a fighter jet—fast and powerful."
が,が,Subject Marker,Ga,"'Ga-ga' for the subject in focus."
青い,あおい,Blue,Aoi,"'Ah, oi!' the ocean is so blue!"
鳥,とり,Bird,Tori,"'Tori' the bird flaps its wings joyfully."
の,の,Of/Belonging to,No,"Think of 'NO' ownership if it belongs to someone else."
歌,うた,Song,Uta,"'Ooh, tah-dah!' sings the songbird."
を,を,Object Marker,Wo,"'Whoa,' the object of focus stands out."
消して,けして,Erase,Kesite,"'Kay, she ate' the evidence—erased it!"
不自由,ふじゆう,Unfree/Freedom-Limited,Fujiyū,"'Fuji, you' can't climb it if you're unfree."
な,な,Adjective Modifier,Na,"Think of 'Nah, it's fine'—a calm response."
翼,つばさ,Wings,Tsubasa,"'Sue, baa-sa' said the bird with wings of freedom."
で,で,At/By/With,De,"'De plane' flies by, marking the spot."
飛ぶ,とぶ,Fly,Tobu,"'Toe boo' helps you fly like a bird."
誰も,だれも,Anyone/No one,Dare mo,"'Dare mo' dares to stand out—no one."
が,が,Subject Marker,Ga,"'Ga-ga' for the subject in focus."
忘れて,わすれて,Forget,Wasurete,"'Was Sue ready' to forget her lines?"
も,も,Even if,Mo,"Imagine a cow saying, 'Moo even if!'"
僕,ぼく,I/Me,Boku,"Picture a bokeh effect on a photo of yourself—it's all about 'me.'"
は,は,Topic Marker,Wa,"A wa-ffle points to the main topic—deliciousness."
忘れたり,わすれたり,Forget (Conj.),Wasuretari,"'Was Sue ready?' Even she might forget!"
しない,しない,Not Do,Shinai,"'She nigh' on refused to do it."
ぜ,ぜ,Emphasis (Casual),Ze,"'Ze end!' he emphasized dramatically."
世界,せかい,World,Sekai,"'Say, Kai'—the whole world listens."
が,が,Subject Marker,Ga,"'Ga-ga' for the subject in focus."
笑って,わらって,Laugh,Waratte,"'Wah, rat-tea' spills as everyone laughs!"
も,も,Even if,Mo,"Imagine a cow saying, 'Moo even if!'"
自分,じぶん,Myself,Jibun,"'Gee, bun' is the tasty part of being yourself."
を,を,Object Marker,Wo,"'Whoa,' the object of focus stands out."
疑わない,うたがわない,Not Doubt,Utagawanai,"'You tag a why' to never doubt yourself."
笑えない,わらえない,Not Able to Laugh,Waraenai,"'Wah, ray nay'—even the funniest joke can't make you laugh."
流行,りゅうこう,Fad/Trend,Ryūkō,"'Ryu co-splays' to keep up with the trend."
救えない,すくえない,Not Able to Save,Sukuenai,"'Sue, cue an eye'—even they can't save it."
